identifier,text,fr,es-ES,es-419,it,pt-PT,pt-BR,de,pl,tr,ru,ja,ko,zh-CN,zh-TW
STATUS_CONNECTED,Connected,,,,,,,,Niestandardowa Niebiańska seria poziomów,Bağlandı,,,,,
BUTTON_CONNECT,<sprite=0 tint> Connect,,,,,,,,Niestandardowa Piekielna seria poziomów,<sprite=0> Bağlan,,,,,
BUTTON_CONNECTING,<sprite=0 tint> Connecting...,,,,,,,,,<sprite=0> Bağlanılıyor...,,,,,
BUTTON_PLAY,<size=80%><alpha=#AA>Received {0} ranks<br>{CHK}<br><alpha=#FF></size><sprite=0 tint> Play,,,,,,,,Kod serii:,<size=80%><alpha=#AA>{0} rütbe alındı<br>{CHK}<br><alpha=#FF></size><sprite=0> Oyna,,,,,
STATUS_RECONNECTING,Reconnecting...,,,,,,,,Niestandardowa seria poziomów,Yeniden Bağlanılıyor...,,,,,
MISSION_NAME,<size=80%>{MRK}{CHK}</size><br>Mission {MN},,,,,,,,Wyczyść,<size=80%>{MRK}{CHK}</size><br>Görev {MN},,,,,
MISSION_RANKS,{R0}/{R1} ranks needed,,,,,,,,Usuń,{R0}/{R1} rütbe gerekiyor,,,,,
LEVEL_NAME,<size=80%><alpha=#AA>{CHK} - </size><alpha=#FF>{OG?},,,,,,,,,<size=80%><alpha=#AA>{CHK} - </size><alpha=#FF>{OG?},,,,,
LEVEL_NAME_WKEY,({KEY}) {OG},,,,,,,,,({KEY}) {OG},,,,,
CHECKS_NONE,0 checks,,,,,,,,,0 kontrol,,,,,
CHECKS_ONE,1 check,,,,,,,,,1 kontrol,,,,,
CHECKS_SOME,{CN} checks,,,,,,,,,{CN} kontrol,,,,,
CHECKS_SHORTHAND,{CN} chk.,,,,,,,,,{CN} kont.,,,,,
CHECKS_REMAINING,{CHK} remaining,,,,,,,,,{CHK} kaldı,,,,,
MISSION_NAME_V2,<size=80%>{PRE1}<br></size>{OG},,,,,,,,,<size=80%>{PRE1}<br></size>{OG},,,,,
MISSION_NUMBERED,Mission {MN},,,,,,,,,Görev {MN},,,,,
BUTTON_PLAY_V2,<size=80%><alpha=#AA>{PRE1}<br>{PRE2}<br><alpha=#FF></size><sprite=0 tint> Play,,,,,,,,,<size=80%><alpha=#AA>{PRE1}<br>{PRE2}<br><alpha=#FF></size><sprite=0 tint> Oyna,,,,,
RECIEVED_RANKS,Received {0} ranks,,,,,,,,,{0} rütbe kazanıldı,,,,,
RECIEVED_MISSIONS,Received {0} mission unlocks,,,,,,,,,{0} görev kilidi açıldı,,,,,
HINTS_SOME,{HN} hinted,,,,,,,,,{HN} ipucu,,,,,
CHECK_HINT_COMBO,"{CHK}, {HNT}",,,,,,,,,"{CHK}, {HNT}",,,,,
HINTS_LEVELSNONE,No hinted levels playable,,,,,,,,,İpuçlu seviyeler oynanamaz,,,,,
HINTS_SOME_LOGIC,{HN} hinted in logic,,,,,,,,,Mantık ipucu: {HN},,,,,
HINTS_NONE,0 hinted,,,,,,,,,0 ipucu,,,,,
HINTS_ONE,1 hinted,,,,,,,,,1 ipucu,,,,,
MISSION_HINTS,Hinted Levels,,,,,,,,,İpucu Seviyeleri,,,,,
LEVELINFO_BRONZE,COMPLETE,,,,,,,,,TAMAMLANDI,,,,,
POPUP_DISCONNECT,Are you sure you want to quit to the main menu? <b>This will disconnect you from the multiworld.</b>,,,,,,,,,"Ana menüye dönmek istediğinizden emin misiniz? <b>Bu işlem, çoklu dünyadan bağlantınızı kesecektir.</b>",,,,,
PLAYERUI_DEATHLINKED,DeathLinked,,,,,,,,,Ölümle Bağlı,,,,,
PLAYERUI_DL_RESTART,{REASON} (Restart: {KEY} ),,,,,,,,,{REASON} (Yeniden başlat: {KEY} ),,,,,
